ID,AWQ_Station_ID,Station Name,TP_MGL,H,L,R
S14129_2015,14129,Beacon Hill Brook,0.021,0.044,0.690,0.601
S14147_2004,14147,Broad Brook,0.078,0.677,0.000,10.000
S14147_2010,14147,Broad Brook,0.0876,0.556,0.000,10.000
S14153_2004,14153,Coginchaug River,0.0835,0.628,0.030,9.544
S14153_2010,14153,Coginchaug River,0.0808,0.551,0.042,9.300
S14174_2011,14174,East Branch Eightmile River,0.014,0.115,0.503,1.855
S14179_2010,14179,East Branch Naugatuck River,1.67E-02,0.326,0.069,8.257
S14194_2004,14194,Farm River,0.03,0.482,0.058,8.920
S14202_2003,14202,Five Mile River,0.211,0.530,0.013,9.755
S14202_2011,14202,Five Mile River,0.068,0.188,0.329,3.633
S14206_2011,14206,French River,0.029,0.362,0.013,9.663
S14226_2011,14226,Harbor Brook,0.0465,0.618,0.117,8.407
S14241_2012,14241,Hockanum River,0.377666667,0.387,0.025,9.389
S14247_2011,14247,Hollenbeck River,0.01,0.099,0.414,1.924
S14263_2014,14263,Kahn Brook,0.127333333,0.699,0.000,10.000
S14278_2010,14278,Little River,0.014,0.046,0.157,2.276
S14278_2014,14278,Little River,0.0135,0.051,0.012,8.049
S14288_2004,14288,Mattabesset River,0.067,0.460,0.035,9.293
S14288_2010,14288,Mattabesset River,0.0657,0.385,0.047,8.910
S14290_2013,14290,Menunketesuck River,0.009,0.000,0.798,0.000
S14293_2013,14293,Mianus River,3.77E-02,0.287,0.050,8.515
S14303_2004,14303,Muddy Brook,0.105,0.787,0.000,10.000
S14308_2013,14308,Muddy River,0.0645,0.277,0.192,5.907
S14314_2004,14314,Natchaug River,0.007,0.057,0.288,1.643
S14316_2002,14316,Naugatuck River,0.2604,0.431,0.016,9.636
S14316_2004,14316,Naugatuck River,0.1495,0.658,0.000,10.000
S14317_2004,14317,Naugatuck River,0.931738095,0.657,0.018,9.728
S14317_2010,14317,Naugatuck River,1.059,0.494,0.013,9.741
S14317_2011,14317,Naugatuck River,0.41575,0.609,0.099,8.600
S14317_2012,14317,Naugatuck River,0.441,0.633,0.000,10.000
S14317_2014,14317,Naugatuck River,0.308,0.666,0.000,10.000
S14317_2015,14317,Naugatuck River,0.328,0.757,0.020,9.742
S14321_2004,14321,Naugatuck River,0.1725,0.587,0.030,9.514
S14341_2004,14341,Naugatuck River,0.009,0.208,0.235,4.699
S14361_2004,14361,Norwalk River,0.059,0.538,0.033,9.417
S14361_2010,14361,Norwalk River,0.112142857,0.226,0.356,3.881
S14377_2012,14377,Pattaconk Brook,1.77E-02,0.061,0.202,2.329
S14392_2004,14392,Pequabuck River,1.11,0.767,0.025,9.684
S14392_2010,14392,Pequabuck River,0.82075,0.374,0.000,10.000
S14392_2012,14392,Pequabuck River,0.5425,0.568,0.040,9.344
S14392_2014,14392,Pequabuck River,0.692,0.553,0.000,10.000
S14392_2015,14392,Pequabuck River,0.374,0.735,0.016,9.783
S14397_2012,14397,Piper Brook,0.04,0.481,0.195,7.111
S14404_2015,14404,Pomperaug River,0.03,0.445,0.035,9.271
S14410_2004,14410,Quinebaug River,0.04,0.493,0.025,9.518
S14410_2010,14410,Quinebaug River,2.37E-02,0.069,0.391,1.500
S14410_2012,14410,Quinebaug River,0.022,0.000,0.751,0.000
S14410_2013,14410,Quinebaug River,0.024,0.067,0.097,4.082
S14410_2014,14410,Quinebaug River,0.0215,0.058,0.086,4.043
S14410_2015,14410,Quinebaug River,0.0195,0.028,0.307,0.837
S14413_2004,14413,Quinnipiac River,0.427,0.570,0.023,9.607
S14413_2012,14413,Quinnipiac River,0.2305,0.542,0.124,8.135
S14413_2013,14413,Quinnipiac River,0.1644,0.370,0.030,9.250
S14413_2014,14413,Quinnipiac River,0.164,0.567,0.000,10.000
S14413_2015,14413,Quinnipiac River,0.2465,0.496,0.047,9.141
S14414_2010,14414,Quinnipiac River,0.352583333,0.357,0.000,10.000
S14414_2012,14414,Quinnipiac River,0.137,0.509,0.000,10.000
S14414_2013,14414,Quinnipiac River,0.1264,0.635,0.000,10.000
S14414_2014,14414,Quinnipiac River,0.128,0.491,0.012,9.758
S14414_2015,14414,Quinnipiac River,0.1805,0.595,0.028,9.550
S14436_2012,14436,Salmon Brook,0.01775,0.179,0.000,10.000
S14441_2004,14441,Salmon River,0.0225,0.115,0.255,3.108
S14441_2010,14441,Salmon River,0.0112,0.261,0.169,6.069
S14441_2011,14441,Salmon River,1.27E-02,0.048,0.191,2.000
S14441_2012,14441,Salmon River,0.0155,0.093,0.180,3.393
S14441_2013,14441,Salmon River,0.00875,0.040,0.098,2.892
S14441_2014,14441,Salmon River,0.0165,0.028,0.018,6.129
S14441_2015,14441,Salmon River,0.013,0.033,0.283,1.031
S14442_2004,14442,Sandy Brook,0.0115,0.102,0.403,2.013
S14442_2010,14442,Sandy Brook,8.17E-03,0.016,0.277,0.552
S14442_2011,14442,Sandy Brook,0.0125,0.025,0.563,0.431
S14442_2012,14442,Sandy Brook,0.012,0.005,0.592,0.082
S14442_2014,14442,Sandy Brook,0.0095,0.075,0.162,3.155
S14442_2015,14442,Sandy Brook,0.0135,0.245,0.393,3.838
S14444_2004,14444,Saugatuck River,0.024,0.477,0.093,8.363
S14444_2010,14444,Saugatuck River,2.22E-02,0.185,0.287,3.924
S14444_2011,14444,Saugatuck River,0.01925,0.293,0.596,3.296
S14444_2013,14444,Saugatuck River,0.0145,0.118,0.043,7.320
S14444_2014,14444,Saugatuck River,0.018,0.331,0.000,10.000
S14444_2015,14444,Saugatuck River,0.023,0.169,0.111,6.036
S14450_2004,14450,Shepaug River,0.054,0.542,0.150,7.831
S14450_2010,14450,Shepaug River,0.0275,0.137,0.061,6.917
S14450_2011,14450,Shepaug River,0.018,0.013,0.473,0.271
S14450_2012,14450,Shepaug River,0.0255,0.056,0.000,10.000
S14450_2014,14450,Shepaug River,2.63E-02,0.055,0.000,10.000
S14450_2015,14450,Shepaug River,0.027,0.060,0.082,4.235
S14451_2011,14451,Shetucket River,0.045,0.483,0.141,7.738
S14458_2010,14458,Still River,0.154,0.228,0.060,7.919
S14458_2014,14458,Still River,0.14,0.741,0.000,10.000
S14458_2015,14458,Still River,0.083,0.677,0.028,9.606
S14461_2004,14461,Sandy Brook (Still River),0.068,0.592,0.082,8.787
S14462_2004,14462,Still River,0.025,0.505,0.273,6.488
